"Timepoint","Sample1","Sample2","Anova_pvalue","TukeyHSD_pvalue","TukeyHSD_sig"
0,"SC","Ac",0.373337332697744,0.413,"ns"
0,"SC","E25",0.373337332697744,1,"ns"
0,"SC","UV7",0.373337332697744,0.962,"ns"
0,"Ac","E25",0.373337332697744,0.442,"ns"
0,"Ac","UV7",0.373337332697744,0.693,"ns"
0,"E25","UV7",0.373337332697744,0.979,"ns"
5,"SC","Ac",0.69899544816364,0.998,"ns"
5,"SC","E25",0.69899544816364,0.96,"ns"
5,"SC","UV7",0.69899544816364,0.907,"ns"
5,"Ac","E25",0.69899544816364,0.989,"ns"
5,"Ac","UV7",0.69899544816364,0.826,"ns"
5,"E25","UV7",0.69899544816364,0.664,"ns"
11,"SC","Ac",0.377105268278363,0.931,"ns"
11,"SC","E25",0.377105268278363,0.894,"ns"
11,"SC","UV7",0.377105268278363,0.755,"ns"
11,"Ac","E25",0.377105268278363,0.555,"ns"
11,"Ac","UV7",0.377105268278363,0.381,"ns"
11,"E25","UV7",0.377105268278363,0.992,"ns"
20,"SC","Ac",0.358055040072099,1,"ns"
20,"SC","E25",0.358055040072099,0.947,"ns"
20,"SC","UV7",0.358055040072099,0.614,"ns"
20,"Ac","E25",0.358055040072099,0.955,"ns"
20,"Ac","UV7",0.358055040072099,0.597,"ns"
20,"E25","UV7",0.358055040072099,0.3,"ns"
35,"SC","Ac",0.641746418474498,0.863,"ns"
35,"SC","E25",0.641746418474498,0.602,"ns"
35,"SC","UV7",0.641746418474498,0.978,"ns"
35,"Ac","E25",0.641746418474498,0.962,"ns"
35,"Ac","UV7",0.641746418474498,0.981,"ns"
35,"E25","UV7",0.641746418474498,0.828,"ns"
